step	accuracy
0	0.5559626221656799
1	0.6123042106628418
2	0.6428751945495605
3	0.6399697065353394
4	0.6634663939476013
5	0.6803941130638123
6	0.6863314509391785
7	0.6860788464546204
8	0.6960586309432983
9	0.7031328678131104
