step	loss
0	0.7204200625419617
1	0.6641947031021118
2	0.6441752314567566
3	0.6321178078651428
4	0.6184547543525696
5	0.6052074432373047
6	0.5922461152076721
7	0.5918599963188171
8	0.5818158984184265
9	0.5708467364311218
